,topic,document,industry,department
0,1,process engineer,mining metal,
1,4,registered nurse,hospital health care,healthcare
2,-1,event producer,venture capital private equity principal,
3,0,chief operating officer,primary secondary education,operation
4,2,investment associate,venture capital private equity principal,
5,1,civil engineer,mining metal,
6,1,project engineer,construction,program project management
7,1,mining mineral processing,mining metal,
8,2,unix window cyber security analyst,computer software,military protective service
9,-1,cook baker,hospital health care,operation
10,1,group er construction,machinery manufacturing,
11,1,project engineer,mining metal,
12,0,compliance,venture capital private equity principal,
13,2,investor,venture capital private equity principal,
14,1,computer aided design drafted,mining metal,
15,3,global director digital product,mining metal,
16,0,associate,mining metal,
17,0,civil draftsperson,mining metal,
18,-1,talent acquisition specialist advisory,mining metal,
19,0,chief executive officer,broadcast medium,business development
20,2,researcher,broadcast medium,research
21,4,intake nurse,hospital health care,healthcare
22,0,safety manager,mining metal,
23,0,administrative fellow,hospital health care,administrative
24,-1,,mining metal,
25,3,marketing director,real estate,sale
26,3,business director,information service,information technology
27,-1,vice president legal,venture capital private equity principal,
28,-1,client engagement director,mining metal,
29,0,team er,mining metal,
30,1,geotechnical,mining metal,
31,0,principal part time,mining metal,
32,1,structural designer,mining metal,
33,1,engineer,mining metal,
34,-1,semi retired,mining metal,
35,0,executive assistant managing partner,venture capital private equity principal,
36,3,director,mining metal,
37,2,finance controller,mining metal,
38,-1,business development mating manager,hospital health care,business development
39,-1,occupational therapist certified hand therapist,hospital health care,healthcare
40,4,certified nursing assistant,hospital health care,healthcare
41,1,site construction manager,mining metal,
42,1,regional director project management construction,mining metal,
43,0,property operation assistant,real estate,real estate
44,0,ministry department assistant,industrial automation,art design
45,4,medical coder,hospital health care,healthcare
46,1,control automation electrical design engineer,mining metal,
47,1,e/a project,mining metal,
48,1,project engineer vac,mining metal,
49,3,global director,mining metal,
50,1,control system automation engineer,mining metal,
51,0,event coordinator,information service,operation
52,1,engineer training hydrotechnical,mining metal,
53,-1,partner,venture capital private equity principal,
54,0,english language learning coach,primary/secondary education,human resource
55,-1,customer area manager,machinery manufacturing,
56,4,staff registered nurse med-sure unit,hospital health care,information technology
57,1,mechanical engineer,mining metal,
58,0,document control manager,mining metal,
59,-1,marketing medium assistant,hospital health care,sale
60,-1,community sponsorship coordinator,hospital health care,operation
